device;loading_datetime;GPU_temp_celsius;CPU_temp_celsius;frequency_arm_hz;frequency_core_hz;frequency_pwm_hz;voltage_core_v;voltage_sdram_c_v;voltage_sdram_i_v;voltage_sdram_p_v;memory_arm_bytes;memory_gpu_bytes;throttled
raspberry-pi-4b;2022-10-06@18:23:49;676;68653;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:23:52;691;69627;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:03;701;70114;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:05;681;68166;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:09;691;6914;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:23;667;66705;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:25;652;65244;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:29;657;65731;1800457088;500000992;107129880;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:39;657;65731;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:43;652;64757;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:24:51;633;63296;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:25:05;672;66218;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:25:22;696;68166;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:25:35;686;6914;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:25:49;711;71088;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:26:06;725;73523;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:26:14;74;7401;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:26:26;74;74497;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:26:49;754;75471;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
